Individuals;generation;population;Altitude elevation (m);Latitude (°N);Longitude (°E);Mean temperature (°C);Maximum temperature (°C);Minimum temperature (°C);Mean precipitations (mm/day)
FV_IT_01_01_P0_WC0_M1;0;IT_01;352;46.037;11.097;10.15;15.71;5.33;2.73
FV_IT_01_01_R2_GG0_M1;3;IT_01;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_01_03_P0_WC0_M1;0;IT_01;352;46.037;11.097;10.15;15.71;5.33;2.73
FV_IT_01_03_R2_GG0_M1;3;IT_01;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_01_05_P0_WC0_M1;0;IT_01;352;46.037;11.097;10.15;15.71;5.33;2.73
FV_IT_01_05_R2_GG0_M1;3;IT_01;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_01_06_P0_WC0_M1;0;IT_01;352;46.037;11.097;10.15;15.71;5.33;2.73
FV_IT_01_06_R2_GG0_M1;3;IT_01;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_02_01_P0_WC0_M1;0;IT_02;1,450;46.051;11.363;8.58;13.97;3.36;2.9
FV_IT_02_01_R2_GG0_M1;3;IT_02;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_02_03_P0_WC0_M1;0;IT_02;1,450;46.051;11.363;8.58;13.97;3.36;2.9
FV_IT_02_03_R2_GG0_M1;3;IT_02;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_02_05_P0_WC0_M1;0;IT_02;1,450;46.051;11.363;8.58;13.97;3.36;2.9
FV_IT_02_05_R2_GG0_M1;3;IT_02;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_02_07_P0_WC0_M1;0;IT_02;1,450;46.051;11.363;8.58;13.97;3.36;2.9
FV_IT_02_07_R2_GG0_M1;3;IT_02;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_03_01_P0_WC0_M1;0;IT_03;468;46.471;11.343;10.34;16.21;5.9;2.33
FV_IT_03_01_R2_GG0_M1;3;IT_03;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_03_03_P0_WC0_M1;0;IT_03;468;46.471;11.343;10.34;16.21;5.9;2.33
FV_IT_03_03_R2_GG0_M1;3;IT_03;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_03_05_P0_WC0_M1;0;IT_03;468;46.471;11.343;10.34;16.21;5.9;2.33
FV_IT_03_05_R2_GG0_M1;3;IT_03;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_03_06_P0_WC0_M1;0;IT_03;468;46.471;11.343;10.34;16.21;5.9;2.33
FV_IT_03_06_R2_GG0_M1;3;IT_03;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_04_01_P0_WC0_M1;0;IT_04;606;46.645;11.133;11;17.11;6.01;2.25
FV_IT_04_01_R2_GG0_M1;3;IT_04;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_04_03_P0_WC0_M1;0;IT_04;606;46.645;11.133;11;17.11;6.01;2.25
FV_IT_04_03_R2_GG0_M1;3;IT_04;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_04_05_P0_WC0_M1;0;IT_04;606;46.645;11.133;11;17.11;6.01;2.25
FV_IT_04_05_R2_GG0_M1;3;IT_04;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_04_06_P0_WC0_M1;0;IT_04;606;46.645;11.133;11;17.11;6.01;2.25
FV_IT_04_06_R2_GG0_M1;3;IT_04;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_05_01_P0_WC0_M1;0;IT_05;1,436;46.726;11.429;2.46;6.37;-1.32;2.76
FV_IT_05_01_R2_GG0_M1;3;IT_05;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_05_03_P0_WC0_M1;0;IT_05;1,436;46.726;11.429;2.46;6.37;-1.32;2.76
FV_IT_05_03_R2_GG0_M1;3;IT_05;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_05_05_P0_WC0_M1;0;IT_05;1,436;46.726;11.429;2.46;6.37;-1.32;2.76
FV_IT_05_05_R2_GG0_M1;3;IT_05;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_05_06_P0_WC0_M1;0;IT_05;1,436;46.726;11.429;2.46;6.37;-1.32;2.76
FV_IT_05_06_R2_GG0_M1;3;IT_05;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_06_01_P0_WC0_M1;0;IT_06;1,905;46.32;11.737;3.55;7.22;-0.12;3.11
FV_IT_06_01_R2_GG0_M1;3;IT_06;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_06_02_P0_WC0_M1;0;IT_06;1,905;46.32;11.737;3.55;7.22;-0.12;3.11
FV_IT_06_02_R2_GG0_M1;3;IT_06;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_06_04_P0_WC0_M1;0;IT_06;1,905;46.32;11.737;3.55;7.22;-0.12;3.11
FV_IT_06_04_R2_GG0_M1;3;IT_06;323;50.663;14.951;9.62;14.94;4.92;NA
FV_IT_06_06_P0_WC0_M1;0;IT_06;1,905;46.32;11.737;3.55;7.22;-0.12;3.11
