individu,seuil,sites_avant,sites_apres,pct_conserve,duree_s
IT_01_01,5,7465109,7465109,100.0,24.6
IT_01_03,5,5644566,5644566,100.0,14.9
IT_01_05,5,8166488,8166488,100.0,29.5
IT_01_06,5,6396443,6396443,100.0,19.0
IT_02_01,5,8264938,8264938,100.0,26.3
IT_02_03,5,8324172,8324172,100.0,28.3
IT_02_05,5,8321541,8321541,100.0,29.5
IT_02_07,5,7720337,7720337,100.0,21.9
IT_03_01,5,7391965,7391965,100.0,19.3
IT_03_03,5,7458975,7458975,100.0,19.4
IT_03_05,5,7000479,7000479,100.0,20.0
IT_03_06,5,7834197,7834197,100.0,22.5
IT_04_01,5,7089580,7089580,100.0,17.9
IT_04_03,5,7814828,7814828,100.0,21.2
IT_04_05,5,8013686,8013686,100.0,23.5
IT_04_06,5,6410999,6410999,100.0,17.8
IT_05_01,5,7892098,7892098,100.0,21.6
IT_05_03,5,7364324,7364324,100.0,18.4
IT_05_05,5,8392608,8392608,100.0,26.6
IT_05_06,5,7640267,7640267,100.0,19.9
IT_06_01,5,7065296,7065296,100.0,19.2
IT_06_02,5,8283527,8283527,100.0,25.2
IT_06_04,5,6605602,6605602,100.0,15.9
IT_06_06,5,8027255,8027255,100.0,21.5
IT_07_02,5,6759364,6759364,100.0,16.2
IT_07_04,5,6525232,6525232,100.0,15.7
IT_07_05,5,7200808,7200808,100.0,16.9
IT_07_07,5,7543898,7543898,100.0,19.7
IT_01_01,10,7465109,5353407,71.71,24.6
IT_01_03,10,5644566,3621266,64.15,14.9
IT_01_05,10,8166488,7082183,86.72,29.5
IT_01_06,10,6396443,4427650,69.22,19.0
IT_02_01,10,8264938,7279755,88.08,26.3
IT_02_03,10,8324172,7302346,87.72,28.3
IT_02_05,10,8321541,7378445,88.67,29.5
IT_02_07,10,7720337,5833060,75.55,21.9
IT_03_01,10,7391965,5237912,70.86,19.3
IT_03_03,10,7458975,5413998,72.58,19.4
IT_03_05,10,7000479,5004157,71.48,20.0
IT_03_06,10,7834197,6261880,79.93,22.5
IT_04_01,10,7089580,4635824,65.39,17.9
IT_04_03,10,7814828,6238426,79.83,21.2
IT_04_05,10,8013686,6754527,84.29,23.5
IT_04_06,10,6410999,3032367,47.3,17.8
IT_05_01,10,7892098,6245128,79.13,21.6
IT_05_03,10,7364324,5352532,72.68,18.4
IT_05_05,10,8392608,7677913,91.48,26.6
IT_05_06,10,7640267,5637013,73.78,19.9
IT_06_01,10,7065296,4466006,63.21,19.2
IT_06_02,10,8283527,7384805,89.15,25.2
IT_06_04,10,6605602,3498055,52.96,15.9
IT_06_06,10,8027255,6818884,84.95,21.5
IT_07_02,10,6759364,3746404,55.43,16.2
IT_07_04,10,6525232,3235627,49.59,15.7
IT_07_05,10,7200808,4709137,65.4,16.9
IT_07_07,10,7543898,5531641,73.33,19.7
IT_01_01,15,7465109,2363215,31.66,24.6
IT_01_03,15,5644566,1777283,31.49,14.9
IT_01_05,15,8166488,5155857,63.13,29.5
IT_01_06,15,6396443,2316572,36.22,19.0
IT_02_01,15,8264938,5505145,66.61,26.3
IT_02_03,15,8324172,5452536,65.5,28.3
IT_02_05,15,8321541,5680137,68.26,29.5
