individu,seuil,n_sites,h2,r,pval,pct_M_P0,pct_M_R2,MM,MU,UM,UU
IT_01_01,5,7465109,0.922637,0.96054,0.0,53.06,53.5,3904187,57010,89783,3414129
IT_01_03,5,5644566,0.930914,0.964839,0.0,65.43,66.23,3671204,22227,67451,1883684
IT_01_05,5,8166488,0.956333,0.977923,0.0,54.75,55.05,4438507,32488,56866,3638627
IT_01_06,5,6396443,0.941854,0.970492,0.0,62.67,62.57,3961387,47294,41072,2346690
IT_02_01,5,8264938,0.96067,0.980138,0.0,55.34,55.49,4539405,34510,46625,3644398
IT_02_03,5,8324172,0.928762,0.963723,0.0,55.29,55.65,4542813,59296,89998,3632065
IT_02_05,5,8321541,0.953078,0.976257,0.0,55.2,55.24,4546567,47237,50475,3677262
IT_02_07,5,7720337,0.926648,0.962626,0.0,54.26,54.15,4113057,75628,67632,3464020
IT_03_01,5,7391965,0.936809,0.967889,0.0,53.75,54.14,3928252,44602,73455,3345656
IT_03_03,5,7458975,0.918723,0.9585,0.0,54.06,54.5,3971808,60564,93216,3333387
IT_03_05,5,7000479,0.918876,0.95858,0.0,57.67,58.19,3984689,52311,89215,2874264
IT_03_06,5,7834197,0.928326,0.963497,0.0,53.86,54.01,4154139,65122,76997,3537939
IT_04_01,5,7089580,0.936182,0.967565,0.0,52.26,52.22,3646392,58650,56095,3328443
IT_04_03,5,7814828,0.92545,0.962003,0.0,53.2,53.54,4097041,60498,87388,3569901
IT_04_05,5,8013686,0.960859,0.980234,0.0,54.65,54.84,4348036,31721,46791,3587138
IT_04_06,5,6410999,0.916369,0.957272,0.0,52.74,52.81,3315251,65917,70629,2959202
IT_05_01,5,7892098,0.916625,0.957405,0.0,54.4,54.24,4203645,89597,77247,3521609
IT_05_03,5,7364324,0.936819,0.967894,0.0,53.26,53.48,3871464,50993,66723,3375144
IT_05_05,5,8392608,0.961667,0.980646,0.0,55.88,55.87,4649423,40392,39701,3663092
IT_05_06,5,7640267,0.946738,0.973005,0.0,54.19,54.18,4088599,51481,50923,3449264
IT_06_01,5,7065296,0.914655,0.956376,0.0,53.67,53.37,3704572,87568,65842,3207314
IT_06_02,5,8283527,0.958069,0.97881,0.0,56.04,56.36,4612221,30128,56369,3584809
IT_06_04,5,6605602,0.912296,0.955142,0.0,53.36,53.14,3443595,80884,66678,3014445
IT_06_06,5,8027255,0.957718,0.978631,0.0,55.32,55.43,4402522,38086,46702,3539945
IT_07_02,5,6759364,0.912379,0.955185,0.0,51.58,51.78,3417377,69018,82297,3190672
IT_07_04,5,6525232,0.928209,0.963436,0.0,51.82,51.97,3326591,54818,64318,3079505
IT_07_05,5,7200808,0.932823,0.965827,0.0,53.12,53.38,3773129,52156,70405,3305118
IT_07_07,5,7543898,0.916158,0.957161,0.0,53.47,53.39,3950373,83404,77425,3432696
IT_01_01,10,5353407,0.917649,0.95794,0.0,49.1,49.56,2584389,44115,68556,2656347
IT_01_03,10,3621266,0.927486,0.963061,0.0,68.86,69.64,2479083,14429,42797,1084957
IT_01_05,10,7082183,0.95525,0.977369,0.0,52.5,52.81,3689125,29207,50770,3313081
IT_01_06,10,4427650,0.940055,0.969564,0.0,64.69,64.58,2831153,33315,28295,1534887
IT_02_01,10,7279755,0.960223,0.979909,0.0,53.5,53.64,3863254,31251,41518,3343732
IT_02_03,10,7302346,0.926793,0.962701,0.0,52.96,53.32,3812819,54633,81108,3353786
IT_02_05,10,7378445,0.952574,0.975999,0.0,52.96,52.96,3863458,43799,44436,3426752
IT_02_07,10,5833060,0.922627,0.960535,0.0,50.83,50.69,2903531,61576,53510,2814443
IT_03_01,10,5237912,0.933507,0.966182,0.0,50.65,51.08,2619929,33193,55442,2529348
IT_03_03,10,5413998,0.913003,0.955512,0.0,50.91,51.4,2709179,46974,73518,2584327
IT_03_05,10,5004157,0.915013,0.956563,0.0,57.65,58.18,2845105,39927,66170,2052955
IT_03_06,10,6261880,0.924294,0.961402,0.0,50.75,50.9,3122278,55864,64964,3018774
IT_04_01,10,4635824,0.932745,0.965787,0.0,47.96,47.88,2181917,41522,37646,2374739
IT_04_03,10,6238426,0.921427,0.95991,0.0,49.31,49.66,3024360,51584,73528,3088954
IT_04_05,10,6754527,0.959733,0.979659,0.0,52.06,52.26,3488605,27598,40996,3197328
IT_04_06,10,3032367,0.912139,0.95506,0.0,49.29,49.37,1461783,32900,35227,1502457
IT_05_01,10,6245128,0.91375,0.955903,0.0,50.47,50.24,3076141,76087,61635,3031265
IT_05_03,10,5352532,0.933923,0.966397,0.0,48.66,48.83,2564022,40371,49518,2698621
IT_05_05,10,7677913,0.962113,0.980873,0.0,53.9,53.87,4100961,37602,35381,3503969
IT_05_06,10,5637013,0.945509,0.972373,0.0,50.57,50.52,2810473,40271,37588,2748681
IT_06_01,10,4466006,0.908613,0.953212,0.0,48.21,47.85,2092763,60162,44209,2268872
IT_06_02,10,7384805,0.95833,0.978944,0.0,53.98,54.27,3958330,27752,49532,3349191
IT_06_04,10,3498055,0.907427,0.95259,0.0,48.44,48.15,1647985,46389,36464,1767217
IT_06_06,10,6818884,0.957869,0.978708,0.0,51.86,51.94,3502721,33310,39185,3243668
IT_07_02,10,3746404,0.905494,0.951575,0.0,44.7,44.87,1632961,41755,47979,2023709
IT_07_04,10,3235627,0.925572,0.962067,0.0,44.84,44.93,1421938,28801,31929,1752959
IT_07_05,10,4709137,0.929622,0.964169,0.0,48.88,49.12,2265433,36529,47831,2359344
IT_07_07,10,5531641,0.91145,0.954699,0.0,49.4,49.26,2666207,66404,58879,2740151
