individu,chr,seuil,n_sites,h2,r,pval
IT_01_01,Fvb1,5,852876,0.920824,0.959596,0.0
IT_01_01,Fvb2,5,1023950,0.940687,0.96989,0.0
IT_01_01,Fvb3,5,1264268,0.920116,0.959227,0.0
IT_01_01,Fvb4,5,1170957,0.921869,0.96014,0.0
IT_01_01,Fvb5,5,1001550,0.922011,0.960214,0.0
IT_01_01,Fvb6,5,1329399,0.913047,0.955535,0.0
IT_01_01,Fvb7,5,798312,0.917041,0.957623,0.0
IT_01_01,contig_10,5,219,0.895243,0.946173,0.0
IT_01_01,contig_12,5,125,0.935065,0.966988,0.0
IT_01_01,contig_17,5,1562,0.817279,0.904035,0.0
IT_01_01,contig_2,5,959,0.452292,0.672527,0.0
IT_01_01,contig_21,5,1058,0.5203,0.721318,0.0
IT_01_01,contig_22,5,125,0.933511,0.966184,0.0
IT_01_01,contig_5,5,1429,0.834359,0.913433,0.0
IT_01_01,contig_6,5,2050,0.98122,0.990565,0.0
IT_01_01,contig_7,5,174,0.000101,-0.01007,0.895078
IT_01_01,contig_9,5,280,0.964206,0.98194,0.0
IT_01_03,Fvb1,5,651312,0.940008,0.96954,0.0
IT_01_03,Fvb2,5,734405,0.947259,0.973272,0.0
IT_01_03,Fvb3,5,969132,0.941069,0.970087,0.0
IT_01_03,Fvb4,5,935880,0.908489,0.953147,0.0
IT_01_03,Fvb5,5,751691,0.943814,0.971501,0.0
IT_01_03,Fvb6,5,996830,0.923035,0.960747,0.0
IT_01_03,Fvb7,5,582523,0.906968,0.952349,0.0
IT_01_03,contig_10,5,122,1.0,1.0,0.0
IT_01_03,contig_12,5,143,0.839326,0.916147,0.0
IT_01_03,contig_17,5,1499,0.831303,0.911758,0.0
IT_01_03,contig_2,5,963,0.682265,0.825993,0.0
IT_01_03,contig_21,5,948,0.537097,0.732869,0.0
IT_01_03,contig_22,5,123,0.803188,0.896208,0.0
IT_01_03,contig_3,5,182,0.446674,0.668337,0.0
IT_01_03,contig_5,5,1295,0.836444,0.914573,0.0
IT_01_03,contig_6,5,1569,0.979532,0.989713,0.0
IT_01_03,contig_7,5,129,0.115283,0.339534,8.3e-05
IT_01_03,contig_9,5,245,0.905222,0.951432,0.0
IT_01_05,Fvb1,5,944447,0.96584,0.982771,0.0
IT_01_05,Fvb2,5,1102333,0.965765,0.982734,0.0
IT_01_05,Fvb3,5,1380560,0.962643,0.981144,0.0
IT_01_05,Fvb4,5,1281976,0.964034,0.981852,0.0
IT_01_05,Fvb5,5,1095763,0.963453,0.981556,0.0
IT_01_05,Fvb6,5,1458696,0.93923,0.969139,0.0
IT_01_05,Fvb7,5,877430,0.930878,0.96482,0.0
IT_01_05,contig_10,5,310,0.868421,0.931891,0.0
IT_01_05,contig_12,5,195,0.919281,0.958791,0.0
IT_01_05,contig_16,5,117,0.739297,0.859824,0.0
IT_01_05,contig_17,5,1645,0.831868,0.912068,0.0
IT_01_05,contig_2,5,1095,0.820874,0.906021,0.0
IT_01_05,contig_21,5,1136,0.506499,0.711687,0.0
IT_01_05,contig_22,5,217,0.924487,0.961502,0.0
IT_01_05,contig_5,5,1606,0.79752,0.89304,0.0
IT_01_05,contig_6,5,2275,0.979853,0.989875,0.0
IT_01_05,contig_7,5,239,0.73393,0.856697,0.0
IT_01_05,contig_9,5,479,0.977102,0.988485,0.0
IT_01_06,Fvb1,5,736629,0.950018,0.974688,0.0
IT_01_06,Fvb2,5,837003,0.957318,0.978426,0.0
IT_01_06,Fvb3,5,1096354,0.951685,0.975543,0.0
IT_01_06,Fvb4,5,1045707,0.921723,0.960064,0.0
IT_01_06,Fvb5,5,851745,0.953894,0.976675,0.0
IT_01_06,Fvb6,5,1137188,0.93421,0.966545,0.0
IT_01_06,Fvb7,5,668502,0.919609,0.958963,0.0
IT_01_06,contig_10,5,148,0.902323,0.949907,0.0
IT_01_06,contig_12,5,128,0.71133,0.843404,0.0
IT_01_06,contig_17,5,1548,0.793725,0.890912,0.0
IT_01_06,contig_2,5,1007,0.776996,0.881474,0.0
IT_01_06,contig_21,5,1046,0.491165,0.700832,0.0
IT_01_06,contig_22,5,116,0.899145,0.948233,0.0
IT_01_06,contig_5,5,1420,0.861814,0.928339,0.0
IT_01_06,contig_6,5,1770,0.983701,0.991817,0.0
IT_01_06,contig_7,5,155,8.5e-05,-0.009213,0.909415
IT_01_06,contig_9,5,231,0.948555,0.973938,0.0
IT_02_01,Fvb1,5,939402,0.947775,0.973538,0.0
