individu,seuil,n_sites,h2,r,pval,slope,intercept,mean_P0,mean_R2,std_P0,std_R2
IT_01_01,5,7465109,0.969481,0.984622,0.0,0.99042,1.213371,50.933,51.659,46.522,46.798
IT_01_03,5,5644566,0.964369,0.982023,0.0,0.985464,2.140096,62.525,63.757,44.394,44.562
IT_01_05,5,8166488,0.975693,0.987772,0.0,0.991189,0.892218,52.358,52.789,46.63,46.779
IT_01_06,5,6396443,0.969392,0.984577,0.0,0.987434,0.545553,60.187,59.977,45.312,45.419
IT_02_01,5,8264938,0.979978,0.989939,0.0,0.987504,0.636523,53.033,53.007,46.681,46.579
IT_02_03,5,8324172,0.974916,0.987378,0.0,0.986062,0.916092,53.168,53.343,46.15,46.085
IT_02_05,5,8321541,0.97747,0.988671,0.0,0.990293,0.593227,52.895,52.975,46.611,46.677
IT_02_07,5,7720337,0.973948,0.986888,0.0,0.980183,0.850823,52.147,51.964,46.434,46.137
IT_03_01,5,7391965,0.96697,0.983347,0.0,0.991211,1.311642,51.252,52.113,46.421,46.737
IT_03_03,5,7458975,0.96968,0.984723,0.0,0.985585,1.026919,52.161,52.436,46.489,46.556
IT_03_05,5,7000479,0.970036,0.984904,0.0,0.992619,1.371632,55.082,56.047,45.664,46.072
IT_03_06,5,7834197,0.971388,0.98559,0.0,0.989474,0.817319,51.751,52.024,46.436,46.557
IT_04_01,5,7089580,0.965646,0.982673,0.0,0.976241,0.826151,49.945,49.584,46.65,46.366
IT_04_03,5,7814828,0.974109,0.98697,0.0,0.993565,1.063077,50.888,51.624,46.228,46.594
IT_04_05,5,8013686,0.977481,0.988677,0.0,0.993368,0.701624,52.185,52.541,46.686,46.92
IT_04_06,5,6410999,0.965515,0.982606,0.0,0.989567,1.053569,50.357,50.885,46.207,46.559
IT_05_01,5,7892098,0.968244,0.983994,0.0,0.982968,0.655212,52.171,51.938,46.149,46.127
IT_05_03,5,7364324,0.973207,0.986513,0.0,0.989405,0.864262,51.067,51.39,46.604,46.786
IT_05_05,5,8392608,0.982375,0.991148,0.0,0.987152,0.362307,53.619,53.293,46.569,46.429
IT_05_06,5,7640267,0.969789,0.984779,0.0,0.98122,0.50382,51.899,51.428,46.527,46.354
IT_06_01,5,7065296,0.963905,0.981787,0.0,0.978506,0.623086,51.692,51.204,46.506,46.281
IT_06_02,5,8283527,0.98194,0.990929,0.0,1.003469,0.531545,53.509,54.226,46.197,46.768
IT_06_04,5,6605602,0.965359,0.982527,0.0,0.980401,0.919869,50.978,50.899,46.23,46.175
IT_06_06,5,8027255,0.973076,0.986446,0.0,0.984739,0.607431,53.009,52.807,46.616,46.474
IT_07_02,5,6759364,0.967665,0.9837,0.0,0.981489,1.230834,49.524,49.838,46.513,46.442
IT_07_04,5,6525232,0.967621,0.983677,0.0,0.983008,1.275656,49.591,50.024,46.543,46.486
IT_07_05,5,7200808,0.971326,0.985559,0.0,0.984899,1.225839,50.738,51.198,46.485,46.504
IT_07_07,5,7543898,0.969338,0.984549,0.0,0.984176,0.94771,51.223,51.361,46.318,46.279
IT_01_01,10,5353407,0.975389,0.987618,0.0,0.993757,1.024207,47.14,47.87,46.355,46.7
IT_01_03,10,3621266,0.966408,0.983061,0.0,0.984956,2.207926,65.722,66.942,43.072,43.157
IT_01_05,10,7082183,0.977628,0.988751,0.0,0.99296,0.79168,50.193,50.631,46.673,46.845
IT_01_06,10,4427650,0.97293,0.986372,0.0,0.989445,0.455846,62.042,61.843,44.607,44.727
IT_02_01,10,7279755,0.982804,0.991365,0.0,0.988773,0.547013,51.253,51.224,46.74,46.638
IT_02_03,10,7302346,0.979801,0.989849,0.0,0.987647,0.803558,50.958,51.132,46.213,46.155
IT_02_05,10,7378445,0.981906,0.990912,0.0,0.991371,0.471302,50.745,50.778,46.697,46.751
IT_02_07,10,5833060,0.975313,0.987579,0.0,0.982437,0.659259,48.889,48.69,46.383,46.103
IT_03_01,10,5237912,0.971424,0.985608,0.0,0.994955,1.133651,48.28,49.17,46.307,46.71
IT_03_03,10,5413998,0.972554,0.986181,0.0,0.988177,0.934138,49.119,49.472,46.392,46.505
IT_03_05,10,5004157,0.972614,0.986212,0.0,0.99438,1.262984,55.034,55.988,45.45,45.852
IT_03_06,10,6261880,0.977107,0.988487,0.0,0.991461,0.680852,48.778,49.042,46.37,46.508
IT_04_01,10,4635824,0.970756,0.985269,0.0,0.978569,0.598331,45.829,45.446,46.411,46.119
IT_04_03,10,6238426,0.97649,0.988175,0.0,0.99655,0.873429,47.207,47.917,46.128,46.545
IT_04_05,10,6754527,0.979306,0.989599,0.0,0.995259,0.604457,49.671,50.04,46.716,46.975
IT_04_06,10,3032367,0.969912,0.984841,0.0,0.995604,0.728139,47.083,47.604,45.926,46.417
IT_05_01,10,6245128,0.970601,0.985191,0.0,0.984574,0.437739,48.461,48.151,46.157,46.104
IT_05_03,10,5352532,0.975316,0.987581,0.0,0.991398,0.652553,46.688,46.939,46.51,46.675
IT_05_05,10,7677913,0.98488,0.992411,0.0,0.988011,0.284222,51.724,51.388,46.701,46.545
IT_05_06,10,5637013,0.975882,0.987868,0.0,0.98299,0.326898,48.435,47.938,46.505,46.306
IT_06_01,10,4466006,0.971247,0.985519,0.0,0.980821,0.383374,46.499,45.991,46.331,46.09
IT_06_02,10,7384805,0.984384,0.992161,0.0,1.004102,0.454388,51.53,52.196,46.324,46.876
IT_06_04,10,3498055,0.969027,0.984392,0.0,0.984043,0.571263,46.357,46.189,45.995,45.949
IT_06_06,10,6818884,0.980723,0.990315,0.0,0.986811,0.448594,49.7,49.493,46.749,46.617
IT_07_02,10,3746404,0.971087,0.985437,0.0,0.986113,0.872708,43.019,43.295,45.95,45.953
IT_07_04,10,3235627,0.975863,0.987858,0.0,0.988718,0.840064,43.018,43.372,46.045,46.094
IT_07_05,10,4709137,0.975353,0.9876,0.0,0.989025,0.959869,46.695,47.142,46.303,46.399
IT_07_07,10,5531641,0.97379,0.986808,0.0,0.987053,0.696511,47.378,47.461,46.211,46.197
