individu,chr,seuil,n_sites,h2,r,slope,intercept,pval
IT_01_01,Fvb1,5,852876,0.969018,0.984387,0.990167,1.217635,0.0
IT_01_01,Fvb2,5,1023950,0.97139,0.985591,0.992581,1.074261,0.0
IT_01_01,Fvb3,5,1264268,0.967072,0.983398,0.988873,1.387524,0.0
IT_01_01,Fvb4,5,1170957,0.967393,0.983561,0.98785,1.408584,0.0
IT_01_01,Fvb5,5,1001550,0.969339,0.98455,0.990847,1.185694,0.0
IT_01_01,Fvb6,5,1329399,0.968677,0.984214,0.99053,1.172333,0.0
IT_01_01,Fvb7,5,798312,0.970528,0.985154,0.992093,1.073624,0.0
IT_01_01,contig_1,5,15239,0.067636,0.26007,0.313072,0.078457,0.0
IT_01_01,contig_10,5,219,0.950406,0.974888,0.950469,0.853888,0.0
IT_01_01,contig_12,5,125,0.942465,0.970806,0.981499,2.295929,0.0
IT_01_01,contig_14,5,105,0.010144,-0.100717,-0.093566,106.396682,0.30664206
IT_01_01,contig_17,5,1562,0.881844,0.939065,0.905214,8.65094,0.0
IT_01_01,contig_2,5,959,0.725173,0.851571,0.768835,21.687453,0.0
IT_01_01,contig_21,5,1058,0.825857,0.908767,0.898285,9.083791,0.0
IT_01_01,contig_22,5,125,0.962382,0.981011,0.953143,-0.029663,0.0
IT_01_01,contig_3,5,155,0.929971,0.96435,0.363914,0.317393,0.0
IT_01_01,contig_5,5,1429,0.910275,0.954083,0.926088,7.694155,0.0
IT_01_01,contig_6,5,2050,0.983368,0.991649,0.991136,0.505174,0.0
IT_01_01,contig_7,5,174,0.260166,0.510065,0.380034,57.739914,0.0
IT_01_01,contig_9,5,280,0.976801,0.988332,0.973908,0.452804,0.0
IT_01_03,Fvb1,5,651312,0.964335,0.982006,0.985804,2.106471,0.0
IT_01_03,Fvb2,5,734405,0.966732,0.983225,0.987942,1.941777,0.0
IT_01_03,Fvb3,5,969132,0.963379,0.981518,0.98448,2.207336,0.0
