individu,sites_P0,sites_R2,sites_communs,pct_commun,duree_s
IT_01_01,7781657,8104953,7465109,95.93,75.8
IT_01_03,8031550,5974327,5644566,94.48,67.0
IT_01_05,8444233,8371563,8166488,97.55,79.3
IT_01_06,6979632,7321517,6396443,91.64,73.2
IT_02_01,8506373,8461009,8264938,97.68,84.7
IT_02_03,8615026,8483947,8324172,98.12,95.5
IT_02_05,8510403,8559265,8321541,97.78,93.7
IT_02_07,7799962,8583199,7720337,98.98,97.1
IT_03_01,7557065,8292492,7391965,97.82,58.5
IT_03_03,8059620,7825716,7458975,95.31,64.9
IT_03_05,7944516,7354530,7000479,95.19,65.6
IT_03_06,8154044,8222408,7834197,96.08,68.6
IT_04_01,7500187,7793566,7089580,94.53,51.5
IT_04_03,8094441,8246871,7814828,96.55,65.1
IT_04_05,8324242,8257779,8013686,97.04,66.1
IT_04_06,6498708,8413137,6410999,98.65,56.8
IT_05_01,8301141,8206205,7892098,96.17,62.5
IT_05_03,8149835,7639026,7364324,96.4,58.7
IT_05_05,8678585,8479269,8392608,98.98,62.1
IT_05_06,8203712,7915071,7640267,96.53,58.5
IT_06_01,7503288,7801389,7065296,94.16,57.7
IT_06_02,8911273,8286623,8283527,99.96,57.5
IT_06_04,6877229,7927930,6605602,96.05,47.2
IT_06_06,8278085,8303145,8027255,96.97,59.0
IT_07_02,6962456,8104728,6759364,97.08,53.3
IT_07_04,6566803,8540730,6525232,99.37,43.6
IT_07_05,7319027,8331443,7200808,98.38,44.8
IT_07_07,7675757,8397434,7543898,98.28,41.3
